English	de	fr	ko	ru
No relevant evidence. The trial will stop rather than invent facts.	Keine passenden Belege. Der Probelauf stoppt, ohne Fakten zu erfinden.	Aucune preuve pertinente. L’essai s’arrête sans inventer de faits.	관련 근거가 없습니다. 사실을 지어내지 않고 시험 실행을 중단합니다.	Нет подходящих доказательств. Пробный запуск остановится, не выдумывая факты.
No relevant sources. The trial will stop rather than invent facts.	Keine passenden Quellen. Der Probelauf stoppt, ohne Fakten zu erfinden.	Aucune source pertinente. L’essai s’arrête sans inventer de faits.	관련 자료가 없습니다. 사실을 지어내지 않고 시험 실행을 중단합니다.	Нет подходящих источников. Пробный запуск остановится, не выдумывая факты.
Approved saving this draft only, without sending it externally.	Nur das Speichern dieses Entwurfs ist erlaubt, kein externer Versand.	Seul l’enregistrement de ce brouillon est autorisé, sans envoi externe.	이 초안의 저장만 승인했습니다. 외부로 전송하지 않습니다.	Разрешено только сохранение этого черновика, без внешней отправки.
Teaching step budget exhausted. Execution stopped.	Schrittbudget der Übung aufgebraucht. Ausführung angehalten.	Le nombre d’étapes autorisées est épuisé. Exécution arrêtée.	학습용 실행 단계 한도에 도달했습니다. 실행을 중단했습니다.	Лимит шагов учебного задания исчерпан. Выполнение остановлено.
Stopped at a read-only draft. No artifact saved.	Bei einem schreibgeschützten Entwurf angehalten. Kein Ergebnis gespeichert.	Arrêt sur un brouillon en lecture seule. Aucun résultat enregistré.	읽기 전용 초안 단계에서 멈췄습니다. 결과물은 저장되지 않았습니다.	Остановка на черновике только для чтения. Результат не сохранён.
Disconnect one path and see where the process stops.	Eine Verbindung trennen und beobachten, wo der Ablauf stoppt.	Coupez une liaison et observez où le processus s’arrête.	연결 하나를 끊고 과정이 어디에서 멈추는지 보세요.	Разорвите одну связь и посмотрите, где остановится процесс.
Keep tasks resumable—and stoppable.	Aufgaben müssen fortsetzbar und anhaltbar bleiben.	Les tâches doivent pouvoir reprendre et s’arrêter.	작업은 이어서 실행할 수도, 멈출 수도 있어야 합니다.	Задачи должны допускать продолжение и остановку.
Harness: keep work resumable and stoppable	Harness: Arbeit fortsetzen und anhalten können	Harness : permettre la reprise et l’arrêt	Harness: 작업을 이어 가고 멈출 수 있게 하기	Harness: возможность продолжить и остановить работу
Review can stop permanently	Die Prüfung kann dauerhaft angehalten bleiben	La vérification peut rester arrêtée	검토를 중단한 상태로 둘 수도 있습니다	Проверка может остаться остановленной
Assembly stops; sources are not silently cut.	Die Zusammenstellung stoppt; Quellen werden nicht unbemerkt gekürzt.	L’assemblage s’arrête ; les sources ne sont pas tronquées sans indication.	구성을 중단합니다. 자료를 알리지 않고 잘라 내지 않습니다.	Сборка прекращается; источники не обрезаются незаметно.
Budgets, timeouts and retries: stopping rules	Budgets, Zeitlimits und Wiederholungen: Stoppregeln	Budgets, délais et nouvelles tentatives : règles d’arrêt	예산, 시간 제한, 재시도: 중단 규칙	Бюджеты, тайм-ауты и повторные попытки: правила остановки
Why do we need machines to gain capabilities? We began with a wish to reduce repetition, overcome limitations and see possibilities we could not see before.	Warum sollen Maschinen Fähigkeiten erwerben? Am Anfang stand der Wunsch, Wiederholungen zu reduzieren, Grenzen zu überwinden und neue Möglichkeiten zu erkennen.	Pourquoi donner des capacités aux machines ? Au départ, nous voulions réduire les tâches répétitives, dépasser certaines limites et découvrir de nouvelles possibilités.	우리는 왜 기계에 능력이 필요하다고 생각했을까요? 반복을 줄이고 한계를 넘으며, 전에는 보이지 않던 가능성을 찾고 싶었기 때문입니다.	Зачем мы наделяем машины способностями? Сначала мы хотели сократить рутину, преодолеть ограничения и увидеть новые возможности.
From a research conjecture to examples, computation and models, repeated attempts turned questions into things we could test.	Von einer Forschungsidee über Beispiele und Berechnungen bis zu Modellen: Wiederholte Versuche machten Fragen überprüfbar.	D’une hypothèse de recherche aux exemples, aux calculs et aux modèles, les essais successifs ont rendu nos questions vérifiables.	연구의 가설에서 표본, 계산, 모델에 이르기까지, 거듭된 시도는 질문을 검증할 수 있는 대상으로 바꾸었습니다.	От научной гипотезы к примерам, вычислениям и моделям — повторные попытки сделали вопросы проверяемыми.
Answers need evidence and actions need boundaries. We can design assistants, and decide how to check them and when to take over.	Antworten brauchen Belege, Handlungen brauchen Grenzen. Wir können Assistenten gestalten und entscheiden, wie wir sie prüfen und wann wir selbst übernehmen.	Les réponses demandent des preuves, les actions des limites. Nous pouvons concevoir des assistants et décider comment les vérifier et quand reprendre la main.	답변에는 근거가, 행동에는 경계가 필요합니다. 우리는 도우미를 설계하고, 어떻게 검증하며 언제 직접 맡을지 결정할 수 있습니다.	Ответам нужны доказательства, действиям — границы. Мы можем создавать помощников и решать, как их проверять и когда брать управление на себя.
If time and material resources become more abundant, what is worth pursuing? How can different aspirations coexist?	Wenn Zeit und materielle Mittel reichlicher vorhanden sind: Was lohnt sich dann anzustreben? Wie können unterschiedliche Wünsche nebeneinander bestehen?	Si le temps et les ressources matérielles deviennent plus abondants, que vaudra-t-il la peine de poursuivre ? Comment faire coexister des aspirations différentes ?	시간과 물질이 더 풍요로워진다면 무엇을 추구할까요? 서로 다른 바람은 어떻게 함께할 수 있을까요?	Если времени и материальных ресурсов станет больше, к чему стоит стремиться? Как могут сосуществовать разные желания?
The exhibition pauses here. The conversation about people, technology and civilization remains open to everyone.	Hier endet der Rundgang vorerst. Das Gespräch über Menschen, Technik und Zivilisation steht allen weiterhin offen.	L’exposition s’arrête ici pour un temps. La conversation sur l’humain, la technologie et la civilisation reste ouverte à tous.	전시는 여기서 잠시 멈춥니다. 사람, 기술, 문명에 관한 대화는 모두에게 열려 있습니다.	Здесь экспозиция делает паузу. Разговор о людях, технологиях и цивилизации остаётся открытым для всех.
Compute	Rechenleistung	Puissance de calcul	연산 능력	Вычислительные ресурсы
Compute and CUDA	Rechenleistung und CUDA	Puissance de calcul et CUDA	연산 능력과 CUDA	Вычислительные ресурсы и CUDA
Parameter	Parameter	Paramètre	매개변수	Параметр
Attention: how information connects	Attention: Informationen verknüpfen	Attention : relier les informations	어텐션: 정보를 연결하는 방법	Механизм внимания: связи между данными
Attention / how information combines	Attention / Informationen kombinieren	Attention / combiner les informations	어텐션 / 정보를 결합하는 방법	Механизм внимания / объединение данных
Training: patterns from examples	Training: Muster aus Beispielen lernen	Entraînement : apprendre à partir d’exemples	훈련: 예시에서 규칙 찾기	Обучение: закономерности из примеров
Calculate a tiny attention example	Ein kleines Attention-Beispiel berechnen	Calculer un petit exemple d’attention	간단한 어텐션 예제 계산하기	Рассчитать простой пример механизма внимания
Harness series	Harness: die Reihe	Série sur le Harness	Harness 시리즈	Серия о Harness
Explore harnesses	Harness erkunden	Explorer les Harness	Harness 알아보기	Изучить Harness
How a harness works	Wie ein Harness funktioniert	Comment fonctionne un Harness	Harness의 작동 방식	Как работает Harness
Read denied	Lesen nicht erlaubt	Lecture interdite	읽기 권한 없음	Чтение запрещено
Saving denied	Speichern nicht erlaubt	Enregistrement interdit	저장 권한 없음	Сохранение запрещено
Read allowed	Lesen erlaubt	Lecture autorisée	읽기 허용	Чтение разрешено
Draft saving allowed	Entwurf darf gespeichert werden	Enregistrement du brouillon autorisé	초안 저장 허용	Сохранение черновика разрешено
Training errors (lower is better)	Trainingsfehler (weniger ist besser)	Erreurs d’entraînement (moins, c’est mieux)	훈련 오류 수 (적을수록 좋음)	Ошибки обучения (меньше — лучше)
CPU {2} ticks; GPU path {3} ticks	CPU: {2} Takte; GPU-Pfad: {3} Takte	CPU : {2} unités de temps ; parcours GPU : {3}	CPU {2} 시간 단위; GPU 경로 {3} 시간 단위	CPU: {2} тактов; путь GPU: {3} тактов
■ GPU compute {12}	■ GPU-Berechnung {12}	■ Calcul GPU {12}	■ GPU 연산 {12}	■ Вычисления GPU {12}
Tokenization / Hugging Face	Tokenisierung / Hugging Face	Tokenisation / Hugging Face	토큰화 / Hugging Face	Токенизация / Hugging Face
Attention Is All You Need / original paper	Attention Is All You Need / Originalarbeit	Attention Is All You Need / article original	Attention Is All You Need / 원논문	Attention Is All You Need / исходная статья
Asking a question usually is not retraining	Eine Frage verändert normalerweise nicht das Training	Poser une question ne réentraîne généralement pas le modèle	질문을 한다고 모델이 다시 훈련되는 것은 아닙니다	Вопрос обычно не переобучает модель
① What parameters do	① Was Parameter bewirken	① Le rôle des paramètres	① 매개변수의 역할	① Роль параметров
First compute match scores	Zuerst die Übereinstimmung berechnen	Calculer d’abord les scores de correspondance	먼저 일치도 점수를 계산합니다	Сначала рассчитать оценки соответствия
Attention is only one step.	Attention ist nur ein Schritt.	L’attention n’est qu’une étape.	어텐션은 전체 과정의 한 단계입니다.	Механизм внимания — лишь один шаг.
Attention + other operations	Attention + weitere Operationen	Attention + autres opérations	어텐션 + 다른 연산	Механизм внимания + другие операции
Harness: the runtime beyond the model	Harness: Laufzeitumgebung um das Modell	Harness : l’environnement d’exécution autour du modèle	Harness: 모델을 둘러싼 실행 환경	Harness: среда выполнения вокруг модели
From teaching harness to production	Vom Übungs-Harness zum Produktivsystem	Du Harness pédagogique au système en production	학습용 Harness에서 실제 운영으로	От учебного Harness к рабочей системе
Transformer: vectors to the next token	Transformer: von Vektoren zum nächsten Token	Transformer : des vecteurs au token suivant	Transformer: 벡터에서 다음 토큰으로	Transformer: от векторов к следующему токену
Anthropic · harnesses for long tasks	Anthropic · Harness für lange Aufgaben	Anthropic · Harness pour les tâches longues	Anthropic · 장기 작업을 위한 Harness	Anthropic · Harness для длительных задач
